2025-04-26 14:09:46,812 - INFO - Episode 40, Reward: 10.00, Avg Reward (last 100): -2.05, Epsilon: 0.980, Loss: 34.7335, Steps: 1
2025-04-26 14:09:46,837 - INFO - Episode 41, Reward: 1.00, Avg Reward (last 100): -1.98, Epsilon: 0.979, Loss: 34.4415, Steps: 3
2025-04-26 14:09:46,859 - INFO - Episode 42, Reward: 1.00, Avg Reward (last 100): -1.91, Epsilon: 0.979, Loss: 39.7475, Steps: 3
2025-04-26 14:09:46,886 - INFO - Episode 43, Reward: 10.00, Avg Reward (last 100): -1.64, Epsilon: 0.978, Loss: 34.9783, Steps: 7
2025-04-26 14:09:46,910 - INFO - Episode 44, Reward: -13.00, Avg Reward (last 100): -1.89, Epsilon: 0.978, Loss: 29.9020, Steps: 4
2025-04-26 14:09:46,936 - INFO - Episode 45, Reward: -1.00, Avg Reward (last 100): -1.87, Epsilon: 0.977, Loss: 29.9355, Steps: 6
2025-04-26 14:09:46,958 - INFO - Episode 46, Reward: 12.00, Avg Reward (last 100): -1.57, Epsilon: 0.977, Loss: 29.1520, Steps: 2
2025-04-26 14:09:46,985 - INFO - Episode 47, Reward: -9.00, Avg Reward (last 100): -1.73, Epsilon: 0.976, Loss: 31.6749, Steps: 8
2025-04-26 14:09:47,011 - INFO - Episode 48, Reward: -6.00, Avg Reward (last 100): -1.82, Epsilon: 0.976, Loss: 31.9837, Steps: 6
2025-04-26 14:09:47,046 - INFO - Episode 49, Reward: -47.00, Avg Reward (last 100): -2.72, Epsilon: 0.975, Loss: 32.8883, Steps: 15
2025-04-26 14:09:47,070 - INFO - Episode 50, Reward: 7.00, Avg Reward (last 100): -2.53, Epsilon: 0.975, Loss: 29.6148, Steps: 4
2025-04-26 14:09:47,097 - INFO - Episode 51, Reward: -6.00, Avg Reward (last 100): -2.60, Epsilon: 0.974, Loss: 28.7378, Steps: 7
2025-04-26 14:09:47,128 - INFO - Episode 52, Reward: 17.00, Avg Reward (last 100): -2.23, Epsilon: 0.974, Loss: 28.7507, Steps: 12
2025-04-26 14:09:47,149 - INFO - Episode 53, Reward: 10.00, Avg Reward (last 100): -2.00, Epsilon: 0.973, Loss: 24.4174, Steps: 1
2025-04-26 14:09:47,178 - INFO - Episode 54, Reward: -27.00, Avg Reward (last 100): -2.45, Epsilon: 0.973, Loss: 29.4370, Steps: 10
2025-04-26 14:09:47,198 - INFO - Episode 55, Reward: -3.00, Avg Reward (last 100): -2.46, Epsilon: 0.972, Loss: 21.1385, Steps: 1
2025-04-26 14:09:47,220 - INFO - Episode 56, Reward: 6.00, Avg Reward (last 100): -2.32, Epsilon: 0.972, Loss: 24.0218, Steps: 2
2025-04-26 14:09:47,247 - INFO - Episode 57, Reward: -9.00, Avg Reward (last 100): -2.43, Epsilon: 0.971, Loss: 30.9715, Steps: 6
2025-04-26 14:09:47,268 - INFO - Episode 58, Reward: 11.00, Avg Reward (last 100): -2.20, Epsilon: 0.971, Loss: 35.8246, Steps: 1
2025-04-26 14:09:47,294 - INFO - Episode 59, Reward: -5.00, Avg Reward (last 100): -2.25, Epsilon: 0.970, Loss: 27.3169, Steps: 5
2025-04-26 14:09:47,323 - INFO - Episode 60, Reward: -37.00, Avg Reward (last 100): -2.82, Epsilon: 0.970, Loss: 26.2077, Steps: 9
2025-04-26 14:09:47,357 - INFO - Episode 61, Reward: -35.00, Avg Reward (last 100): -3.34, Epsilon: 0.969, Loss: 30.8744, Steps: 13
2025-04-26 14:09:47,387 - INFO - Episode 62, Reward: 0.00, Avg Reward (last 100): -3.29, Epsilon: 0.969, Loss: 29.3367, Steps: 8
2025-04-26 14:09:47,413 - INFO - Episode 63, Reward: 2.00, Avg Reward (last 100): -3.20, Epsilon: 0.968, Loss: 28.8970, Steps: 5
2025-04-26 14:09:47,441 - INFO - Episode 64, Reward: 6.00, Avg Reward (last 100): -3.06, Epsilon: 0.968, Loss: 22.5883, Steps: 7
2025-04-26 14:09:47,463 - INFO - Episode 65, Reward: 12.00, Avg Reward (last 100): -2.83, Epsilon: 0.968, Loss: 27.9612, Steps: 1
2025-04-26 14:09:47,490 - INFO - Episode 66, Reward: -7.00, Avg Reward (last 100): -2.90, Epsilon: 0.967, Loss: 31.4005, Steps: 6
2025-04-26 14:09:47,519 - INFO - Episode 67, Reward: -21.00, Avg Reward (last 100): -3.16, Epsilon: 0.967, Loss: 29.7784, Steps: 8
2025-04-26 14:09:47,555 - INFO - Episode 68, Reward: -41.00, Avg Reward (last 100): -3.71, Epsilon: 0.966, Loss: 27.5522, Steps: 15
2025-04-26 14:09:47,577 - INFO - Episode 69, Reward: 11.00, Avg Reward (last 100): -3.50, Epsilon: 0.966, Loss: 24.1356, Steps: 1
2025-04-26 14:09:47,605 - INFO - Episode 70, Reward: 19.00, Avg Reward (last 100): -3.18, Epsilon: 0.965, Loss: 27.2520, Steps: 6
2025-04-26 14:09:47,637 - INFO - Episode 71, Reward: -14.00, Avg Reward (last 100): -3.33, Epsilon: 0.965, Loss: 26.5350, Steps: 10
2025-04-26 14:09:47,665 - INFO - Episode 72, Reward: -2.00, Avg Reward (last 100): -3.32, Epsilon: 0.964, Loss: 28.7789, Steps: 7
2025-04-26 14:09:47,704 - INFO - Episode 73, Reward: -55.00, Avg Reward (last 100): -4.01, Epsilon: 0.964, Loss: 25.6935, Steps: 18
2025-04-26 14:09:47,729 - INFO - Episode 74, Reward: 0.00, Avg Reward (last 100): -3.96, Epsilon: 0.963, Loss: 32.0434, Steps: 4
2025-04-26 14:09:47,756 - INFO - Episode 75, Reward: -4.00, Avg Reward (last 100): -3.96, Epsilon: 0.963, Loss: 25.6061, Steps: 5
2025-04-26 14:09:47,781 - INFO - Episode 76, Reward: 4.00, Avg Reward (last 100): -3.86, Epsilon: 0.962, Loss: 26.5716, Steps: 3
2025-04-26 14:09:47,815 - INFO - Episode 77, Reward: -18.00, Avg Reward (last 100): -4.04, Epsilon: 0.962, Loss: 26.6847, Steps: 14
2025-04-26 14:09:47,841 - INFO - Episode 78, Reward: 0.00, Avg Reward (last 100): -3.99, Epsilon: 0.961, Loss: 28.0588, Steps: 5
2025-04-26 14:09:47,869 - INFO - Episode 79, Reward: -5.00, Avg Reward (last 100): -4.00, Epsilon: 0.961, Loss: 25.0980, Steps: 7
2025-04-26 14:09:47,897 - INFO - Episode 80, Reward: -14.00, Avg Reward (last 100): -4.12, Epsilon: 0.960, Loss: 25.0365, Steps: 7
2025-04-26 14:09:47,921 - INFO - Episode 81, Reward: -12.00, Avg Reward (last 100): -4.22, Epsilon: 0.960, Loss: 26.0910, Steps: 2
2025-04-26 14:09:47,951 - INFO - Episode 82, Reward: 12.00, Avg Reward (last 100): -4.02, Epsilon: 0.959, Loss: 24.6927, Steps: 7
2025-04-26 14:09:47,973 - INFO - Episode 83, Reward: 5.00, Avg Reward (last 100): -3.92, Epsilon: 0.959, Loss: 29.2463, Steps: 3
2025-04-26 14:09:48,004 - INFO - Episode 84, Reward: -31.00, Avg Reward (last 100): -4.24, Epsilon: 0.958, Loss: 29.7251, Steps: 11
2025-04-26 14:09:48,027 - INFO - Episode 85, Reward: 8.00, Avg Reward (last 100): -4.09, Epsilon: 0.958, Loss: 27.7821, Steps: 3
2025-04-26 14:09:48,067 - INFO - Episode 86, Reward: -49.00, Avg Reward (last 100): -4.61, Epsilon: 0.957, Loss: 26.1957, Steps: 20
2025-04-26 14:09:48,092 - INFO - Episode 87, Reward: -2.00, Avg Reward (last 100): -4.58, Epsilon: 0.957, Loss: 25.2953, Steps: 6
2025-04-26 14:09:48,115 - INFO - Episode 88, Reward: 4.00, Avg Reward (last 100): -4.48, Epsilon: 0.956, Loss: 22.9103, Steps: 3
2025-04-26 14:09:48,140 - INFO - Episode 89, Reward: -4.00, Avg Reward (last 100): -4.48, Epsilon: 0.956, Loss: 23.3726, Steps: 5
2025-04-26 14:09:48,160 - INFO - Episode 90, Reward: 10.00, Avg Reward (last 100): -4.32, Epsilon: 0.956, Loss: 32.4245, Steps: 1
2025-04-26 14:09:48,182 - INFO - Episode 91, Reward: 12.00, Avg Reward (last 100): -4.14, Epsilon: 0.955, Loss: 25.6194, Steps: 2
2025-04-26 14:09:48,211 - INFO - Episode 92, Reward: -35.00, Avg Reward (last 100): -4.47, Epsilon: 0.955, Loss: 26.4846, Steps: 11
2025-04-26 14:09:48,247 - INFO - Episode 93, Reward: -50.00, Avg Reward (last 100): -4.96, Epsilon: 0.954, Loss: 26.1795, Steps: 17
2025-04-26 14:09:48,281 - INFO - Episode 94, Reward: -52.00, Avg Reward (last 100): -5.45, Epsilon: 0.954, Loss: 22.6704, Steps: 15
2025-04-26 14:09:48,317 - INFO - Episode 95, Reward: -42.00, Avg Reward (last 100): -5.83, Epsilon: 0.953, Loss: 25.5619, Steps: 16
2025-04-26 14:09:48,340 - INFO - Episode 96, Reward: 6.00, Avg Reward (last 100): -5.71, Epsilon: 0.953, Loss: 27.5978, Steps: 3
2025-04-26 14:09:48,370 - INFO - Episode 97, Reward: -19.00, Avg Reward (last 100): -5.85, Epsilon: 0.952, Loss: 24.3750, Steps: 9
2025-04-26 14:09:48,404 - INFO - Episode 98, Reward: -29.00, Avg Reward (last 100): -6.08, Epsilon: 0.952, Loss: 27.4036, Steps: 14
2025-04-26 14:09:48,426 - INFO - Episode 99, Reward: -6.00, Avg Reward (last 100): -6.08, Epsilon: 0.951, Loss: 21.7479, Steps: 1
2025-04-26 14:09:48,458 - INFO - Episode 100, Reward: -30.00, Avg Reward (last 100): -6.45, Epsilon: 0.951, Loss: 27.2645, Steps: 12
2025-04-26 14:09:48,484 - INFO - Episode 101, Reward: -7.00, Avg Reward (last 100): -6.62, Epsilon: 0.950, Loss: 22.3338, Steps: 5
2025-04-26 14:09:48,516 - INFO - Episode 102, Reward: -24.00, Avg Reward (last 100): -6.56, Epsilon: 0.950, Loss: 22.5406, Steps: 12
2025-04-26 14:09:48,541 - INFO - Episode 103, Reward: -1.00, Avg Reward (last 100): -6.68, Epsilon: 0.949, Loss: 29.6911, Steps: 5
2025-04-26 14:09:48,563 - INFO - Episode 104, Reward: 12.00, Avg Reward (last 100): -6.65, Epsilon: 0.949, Loss: 25.4008, Steps: 1
2025-04-26 14:09:48,585 - INFO - Episode 105, Reward: -9.00, Avg Reward (last 100): -6.87, Epsilon: 0.948, Loss: 25.8292, Steps: 2
2025-04-26 14:09:48,613 - INFO - Episode 106, Reward: -11.00, Avg Reward (last 100): -7.07, Epsilon: 0.948, Loss: 22.7631, Steps: 8
2025-04-26 14:09:48,653 - INFO - Episode 107, Reward: -52.00, Avg Reward (last 100): -7.29, Epsilon: 0.947, Loss: 25.5222, Steps: 18
2025-04-26 14:09:48,675 - INFO - Episode 108, Reward: 8.00, Avg Reward (last 100): -7.32, Epsilon: 0.947, Loss: 28.4280, Steps: 2
2025-04-26 14:09:48,704 - INFO - Episode 109, Reward: -16.00, Avg Reward (last 100): -7.59, Epsilon: 0.946, Loss: 25.4912, Steps: 8
2025-04-26 14:09:48,725 - INFO - Episode 110, Reward: 11.00, Avg Reward (last 100): -7.37, Epsilon: 0.946, Loss: 21.8558, Steps: 1
2025-04-26 14:09:48,747 - INFO - Episode 111, Reward: -8.00, Avg Reward (last 100): -7.55, Epsilon: 0.946, Loss: 21.9942, Steps: 2
2025-04-26 14:09:48,771 - INFO - Episode 112, Reward: 16.00, Avg Reward (last 100): -7.38, Epsilon: 0.945, Loss: 29.3653, Steps: 3
2025-04-26 14:09:48,794 - INFO - Episode 113, Reward: 4.00, Avg Reward (last 100): -7.19, Epsilon: 0.945, Loss: 31.9501, Steps: 3
2025-04-26 14:09:48,821 - INFO - Episode 114, Reward: -12.00, Avg Reward (last 100): -7.36, Epsilon: 0.944, Loss: 25.1346, Steps: 7
2025-04-26 14:09:48,845 - INFO - Episode 115, Reward: -13.00, Avg Reward (last 100): -7.56, Epsilon: 0.944, Loss: 27.4689, Steps: 3
2025-04-26 14:09:48,868 - INFO - Episode 116, Reward: 6.00, Avg Reward (last 100): -7.61, Epsilon: 0.943, Loss: 27.3858, Steps: 2
2025-04-26 14:09:48,900 - INFO - Episode 117, Reward: -31.00, Avg Reward (last 100): -7.76, Epsilon: 0.943, Loss: 24.3691, Steps: 13
2025-04-26 14:09:48,926 - INFO - Episode 118, Reward: 4.00, Avg Reward (last 100): -7.57, Epsilon: 0.942, Loss: 25.6101, Steps: 5
2025-04-26 14:09:48,948 - INFO - Episode 119, Reward: 13.00, Avg Reward (last 100): -7.41, Epsilon: 0.942, Loss: 22.5742, Steps: 2
